_id,institution,campus,quarter,departmentId,departmentName,courseId,courseName,sectionsCount
26AQ9t55AKvT7KRcn,uw.edu,seattle,AUTUMN,LAWA,LAWA,LAWA579,LAWA579,3
29bXEGJN9eQ9gBtPN,uw.edu,seattle,AUTUMN,LING,LING,LING269,LING269,1
2EskeQjLNvatkn7uN,uw.edu,seattle,SUMMER,MATH,MATH,MATH394,MATH394,3
2GAwKhLPszuXjiH6b,uw.edu,seattle,SUMMER,ACCTG,ACCTG,ACCTG505,ACCTG505,1
2GeBmcJhosiSu8zeG,uw.edu,seattle,SUMMER,ECON,ECON,ECON301,ECON301,1
2P2hiBcto8aLjGwgB,uw.edu,seattle,AUTUMN,FRENCH,FRENCH,FRENCH590,FRENCH590,2
2QSQmxFzDi8rvywNE,uw.edu,seattle,AUTUMN,AMATH,AMATH,AMATH522,AMATH522,1
2QpXT2EmmHHR5jGFa,uw.edu,seattle,SUMMER,EDC&I,EDC&I,EDC&I525,EDC&I525,1
2RuvEhYAhgPxEXZYo,uw.edu,seattle,SUMMER,COM,COM,COM304,COM304,1
2S9rCgeHotJJv66ZM,uw.edu,seattle,AUTUMN,SCAND,SCAND,SCAND200,SCAND200,2
2byMsNeQwjR3Toyka,uw.edu,seattle,AUTUMN,ANTH,ANTH,ANTH549,ANTH549,1
2etJidSccxxhuM9fj,uw.edu,seattle,AUTUMN,CLAS,CLAS,CLAS314,CLAS314,1
2gpm6BDGGffSyFBt9,uw.edu,seattle,AUTUMN,OCEAN,OCEAN,OCEAN520,OCEAN520,1
2pyaDPNuZtPAYnfx4,uw.edu,seattle,AUTUMN,MATH,MATH,MATH574,MATH574,2
2r27npsKP8t8Lkbwx,uw.edu,seattle,AUTUMN,BIOL,BIOL,BIOL423,BIOL423,1
2rYPeJmENjMzin2Zc,uw.edu,seattle,SUMMER,COM,COM,COM201,COM201,2
2xtAti7k39bwf7wE9,uw.edu,seattle,AUTUMN,PUBPOL,PUBPOL,PUBPOL519,PUBPOL519,2
2y5eFadBAE7ugEE8L,uw.edu,seattle,AUTUMN,ANTH,ANTH,ANTH345,ANTH345,1
32iobgoWydN85vf7i,uw.edu,seattle,AUTUMN,NURS,NURS,NURS514,NURS514,2
