_id,institution,campus,id,name
23qLh8SqjfbYnR4Nf,uw.edu,seattle,ESL,ESL
2Q3LXHY32nAZMNrAL,uw.edu,seattle,CMS,CMS
2rdRW5abN8QHgaYRF,uw.edu,seattle,HINDI,HINDI
3R6ELBcEEzRgwSCyk,uw.edu,seattle,ASL,ASL
3WgX9vFxeD3Yn3nsm,uw.edu,seattle,BCMU,BCMU
3m4JRLoZgRBZdzGHx,uw.edu,seattle,ENGL,ENGL
3t3kcTBNiZ4QJqqd4,uw.edu,seattle,PCE,PCE
5J3if9rvw2W2qHGDf,uw.edu,seattle,HSTRY,HSTRY
6cjy6meeQgAkwoyWZ,uw.edu,seattle,HCDE,HCDE
6kMp3B2A6vGZpJxnd,uw.edu,seattle,EDLPS,EDLPS
7H5d9tDycuJmXq2QM,uw.edu,seattle,GENST,GENST
7KjSji6TwExpxiZof,uw.edu,seattle,HSTEU,HSTEU
84ejJ4iH6425ZDcTZ,uw.edu,seattle,SOCWF,SOCWF
86FEtNhAdDhtbsYvw,uw.edu,seattle,AES,AES
8RmjsM4eqJr7dLDkQ,uw.edu,seattle,RELIG,RELIG
8dSQA2S7XFGgPAnhh,uw.edu,seattle,SWED,SWED
8daEnbQwYbr8bRLh2,uw.edu,seattle,GEOG,GEOG
8hZ5efm9N5brrXLbP,uw.edu,seattle,JSISA,JSISA
8qgc6dXkFaHw9Lv5Q,uw.edu,seattle,HSERV,HSERV
97CEz9pLgNS7THfGK,uw.edu,seattle,HSTAA,HSTAA
9R4NRooDh35nHxsyS,uw.edu,seattle,EPI,EPI
ASjgcGDj2xMSEi6nz,uw.edu,seattle,SCM,SCM
ATppFkwGTWh8Hnfj4,uw.edu,seattle,PHARM,PHARM
Agb9twX27hHswZB6G,uw.edu,seattle,SPAN,SPAN
AzfHLffpxRuXoQbzb,uw.edu,seattle,GWSS,GWSS
BSQNeFmbmjDmxaWfM,uw.edu,seattle,VIET,VIET
BZCSZjy5Pifjg2Ckw,uw.edu,seattle,MICROM,MICROM
ChSd6STw66gk9FDm3,uw.edu,seattle,SNKRT,SNKRT
CjEhYfAcohLeaua9j,uw.edu,seattle,CHIN,CHIN
Cz2kNjXn8hvBFSxRb,uw.edu,seattle,HSTCMP,HSTCMP
E2MRB7QnE3gB2N4Zo,uw.edu,seattle,EDC&I,EDC&I
EB7RdodLDe9DN9bkZ,uw.edu,seattle,LAWB,LAWB
EFRdrpoDF3Hymk8hr,uw.edu,seattle,LATIN,LATIN
EmdiBpzwgzSCtcc5E,uw.edu,seattle,ENVIR,ENVIR
FKAD69FggYGgFvk9n,uw.edu,seattle,IS,IS
FYW5dqkqrvP9cwFAW,uw.edu,seattle,ARTH,ARTH
G2JTzsdD9Sz9x4pFH,uw.edu,seattle,ECFS,ECFS
GQXuuavfLHSXudXdt,uw.edu,seattle,ENTRE,ENTRE
GRDFKRbMAF9agaBb8,uw.edu,seattle,MODHEB,MODHEB
GcQZRZjHJ8tmPuzuW,uw.edu,seattle,BIOC,BIOC
GhWvfbxC2eiFZdqZs,uw.edu,seattle,SOC,SOC
H55YMemmLTeDgquuM,uw.edu,seattle,KOREAN,KOREAN
HCeqNpaaJusRrDCfo,uw.edu,seattle,PUBPOL,PUBPOL
HZKxGpNNBstCnyYnX,uw.edu,seattle,NSG,NSG
HhPwk8nsLxqSrBpwW,uw.edu,seattle,CM,CM
HpyqNprh4dapf8yqm,uw.edu,seattle,ACCTG,ACCTG
JCnWbFj3WeqzaNkfk,uw.edu,seattle,MUSEUM,MUSEUM
JppmLEDThHRYxsmpP,uw.edu,seattle,LAW,LAW
K5cAamK6mqzNzxoXJ,uw.edu,seattle,MGMT,MGMT
K6HHPBMQM69ofd9vN,uw.edu,seattle,ASTR,ASTR
KbXhLxKbS3vgu8pPz,uw.edu,seattle,CHEM,CHEM
Kz6J775ccGttHpGbp,uw.edu,seattle,OPMGT,OPMGT
LBNdtEpQzQc8cogKe,uw.edu,seattle,MATH,MATH
LmLY32Qx73SupxiWy,uw.edu,seattle,REHAB,REHAB
Lu6GcdwStQg5imDMP,uw.edu,seattle,NEARE,NEARE
LvNn735XQCiuh7FZm,uw.edu,seattle,INFO,INFO
LzvBnyoT7o4LMW9X5,uw.edu,seattle,SLAVIC,SLAVIC
MF25B5rPN6jvX5Dqk,uw.edu,seattle,ARAB,ARAB
MM2Mx6BoartWTxopu,uw.edu,seattle,DENTCL,DENTCL
MZC4pZbejjajG6pJw,uw.edu,seattle,MEDSCI,MEDSCI
N2LeBAT76oxpABcK6,uw.edu,seattle,QMETH,QMETH
PScCQ2FLPFePL5num,uw.edu,seattle,ME,ME
PW2WjyqHijpfJPWPS,uw.edu,seattle,CS&SS,CS&SS
QFvfbSjPqs7TZY4Kh,uw.edu,seattle,HSTLAC,HSTLAC
QQeYgKg2EDyWEKNmA,uw.edu,seattle,BECON,BECON
QRdfFgkkaPWXbusAD,uw.edu,seattle,MSE,MSE
QhrGJAZXonNMDatXj,uw.edu,seattle,PORT,PORT
QnmfJmTheWPusBpXW,uw.edu,seattle,DPHS,DPHS
QzKM2M8zFYXFXJbE3,uw.edu,seattle,AFRAM,AFRAM
RDCg87ccoGW5iow27,uw.edu,seattle,JSISD,JSISD
RZDSsn5EhaWGpgqoo,uw.edu,seattle,CSE,CSE
RyTBGn6enwZw8BnNX,uw.edu,seattle,TMMBA,TMMBA
SFLntBnyRQx7Nxqwr,uw.edu,seattle,DANCE,DANCE
SPowgF3i4hWFinYPF,uw.edu,seattle,HSTAFM,HSTAFM
TAZCWHPjHAh5v9ToR,uw.edu,seattle,HSMGMT,HSMGMT
TEwmA4Gu74dNgxjJe,uw.edu,seattle,ECON,ECON
ToTxQL6qHCbwHutNy,uw.edu,seattle,BSE,BSE
Ttmpc9aQFikHF7uXv,uw.edu,seattle,LIS,LIS
WuSvwi8J5zWDTgqNZ,uw.edu,seattle,HSTAM,HSTAM
Ww3FRxTnt5TY2mYsp,uw.edu,seattle,C LIT,C LIT
WxevCqR9vFehCN4oG,uw.edu,seattle,INDE,INDE
X3kCcNwsTHZb66J5j,uw.edu,seattle,AA,AA
X8TGatWfrGBwopaLB,uw.edu,seattle,MUHST,MUHST
XWcYR5Bm6aPcyrWZd,uw.edu,seattle,JSIS,JSIS
